Person/Number,SG,PL,paradigm_tag
1,k ɘ ⁵,k i ⁵ n + n + ʉ ⁵,default
INCL,NA,i ¹ + n + ʉ ¹,unspec_var
INCL,NA,i ⁵ + n + ʉ ⁵,unspec_var
INCL,NA,i ⁵ + n ɘ ⁵,unspec_var
INCL,NA,i ¹ + n ɘ ¹,unspec_var
INCL,NA,n̩ ⁵ + n + ʉ ⁵,unspec_var
2,n a ⁵ ŋ,NA,default
2,NA,n i ⁵ n + n + ʉ ⁵,unspec_var
2,NA,n i ⁵ ŋ + n + ʉ ⁵,unspec_var
3,a ⁵ + m a ⁵,i ⁵ + n ʉ ⁵,unspec_var
3,a ⁵ + m a ¹,i ⁵ + n ʉ ⁵,unspec_var
3,a ⁵ + m a ⁵,m̩ ⁵ + m e ⁵ + n ɘ ¹,unspec_var
3,a ⁵ + m a ¹,m̩ ⁵ + m e ⁵ + n ɘ ¹,unspec_var
3,a ⁵ + m a ⁵,m̩ ⁵ + m e ⁵ + n ɘ ⁵,unspec_var
3,a ⁵ + m a ¹,m̩ ⁵ + m e ⁵ + n ɘ ⁵,unspec_var
3,a ⁵ + m a ⁵,n̩ ⁵ + n ʉ ⁵,unspec_var
3,a ⁵ + m a ¹,n̩ ⁵ + n ʉ ⁵,unspec_var
