FUT.AFF,,,,,,,,,,,
A/O,1SG,1PLEXCL,1PLINCL,2SG,2PL,3SG,3PL,paradigm_tag,morphanalysis_tag,overabundance_tag,order_tag
1SG,,,,Σ + v a ⁵ ŋ + k e ⁵ + tʃ ɘ ¹,Σ + v a ⁵ ŋ + k e ⁵ + tʃ + ʉ ¹,Σ + v a ⁵ ŋ + k i ⁵ + t e ¹,Σ + h e ⁵ + v a ⁵ ŋ + k i ⁵ + t e ¹,default,,,
1SG,,,,Σ + v a ⁵ ŋ + k i ⁵ + t e ⁵ + k e ⁵ + tʃ ɘ ¹,Σ + v a ⁵ ŋ + k i ⁵ + t e ⁵ + k e ⁵ + tʃ + ʉ ¹,,,pragm_marked,,,
1PLEXCL,,,,Σ + v a ⁵ ŋ + k i ⁵ n + tʃ + ʉ ¹,Σ + v a ⁵ ŋ + k i ⁵ n + tʃ + ʉ ¹,Σ + v a ⁵ ŋ + k i ⁵ n + t e ¹,Σ + h e ⁵ + v a ⁵ ŋ + k i ⁵ n + t e ¹,default,,,
1PLEXCL,,,,Σ + v a ⁵ ŋ + k i ⁵ n + t e ⁵ + k i ⁵ n + tʃ ɘ ¹,,,,pragm_marked,,optional_plural,
1PLEXCL,,,,Σ + v a ⁵ ŋ + k i ⁵ n + t e ⁵ + k i ⁵ n + tʃ + ʉ ¹,Σ + v a ⁵ ŋ + k i ⁵ n + t e ⁵ + k i ⁵ n + tʃ + ʉ ¹,,,pragm_marked,,,
1PLEXCL,,,,Σ + v a ⁵ ŋ + k i ⁵ n + tʃ ɘ ¹,,,,,,optional_plural,
1PLINCL,,,,,,Σ + v a ⁵ ŋ + i ⁵ + t e ¹ + k a ¹,Σ + h e ⁵ + v a ⁵ ŋ + i ⁵ + t e ¹ + k a ¹,emph,,,
1PLINCL,,,,,,Σ + v a ⁵ + t e ¹,Σ + v a ⁵ + t e ¹ + r + ʉ ¹,hort,,,
2SG,i ¹ + Σ + v a ⁵ ŋ + n a ⁵ + t e ¹,i ¹ + Σ + v a ⁵ ŋ + n a ⁵ + t e ¹,,,,Σ + v a ⁵ ŋ + n a ⁵ + t e ¹,Σ + h e ⁵ + v a ⁵ ŋ + n a ⁵ + t e ¹,default,,,
2PL,i ¹ + Σ + v a ⁵ ŋ + n i ⁵ ŋ + t e ¹,i ¹ + Σ + v a ⁵ ŋ + n i ⁵ ŋ + t e ¹,,,,Σ + v a ⁵ ŋ + n i ⁵ ŋ + t e ¹,Σ + h e ⁵ + v a ⁵ ŋ + n i ⁵ ŋ + t e ¹,default,,,
3SG,i ¹ + Σ + v a ⁵ + t e ¹,i ¹ + Σ + v a ⁵ + t e ¹,i ¹ + Σ + v a ⁵ + t e ¹,i ¹ + Σ + v a ⁵ + t e ¹,i ¹ + Σ + v a ⁵ + t e ¹,Σ + v a ⁵ + t e ¹,Σ + v a ⁵ + t e ¹ + h e ¹,default,,,
3SG,,,,,,,Σ + h e ⁵ + t e ¹,,,optional_future,variable_order
3PL,i ¹ + Σ + v a ⁵ + t e ¹ + h e ¹,i ¹ + Σ + v a ⁵ + t e ¹ + h e ¹,i ¹ + Σ + v a ⁵ + t e ¹ + h e ¹,i ¹ + Σ + v a ⁵ + t e ¹ + h e ¹,i ¹ + Σ + v a ⁵ + t e ¹ + h e ¹,Σ + v a ⁵ + t e ¹ + h e ¹,Σ + v a ⁵ + t e ¹ + h e ¹,default,,,
3PL,i ¹ + Σ + h e ⁵ + t e ¹,i ¹ + Σ + h e ⁵ + t e ¹,i ¹ + Σ + h e ⁵ + t e ¹,i ¹ + Σ + h e ⁵ + t e ¹,i ¹ + Σ + h e ⁵ + t e ¹,Σ + h e ⁵ + t e ¹,Σ + h e ⁵ + t e ¹,,,optional_future,variable_order
FUT.NEG,,,,,,,,,,,
A/O,1SG,1PLEXCL,1PLINCL,2SG,2PL,3SG,3PL,paradigm_tag,morphanalysis_tag,overabundance_tag,order_tag
1SG,,,,Σ + m aa ¹ + n i ⁵ + ŋ + tʃ ɘ ⁵,Σ + m aa ¹ + n i ⁵ + ŋ + tʃ + ʉ ⁵,Σ + m aa ¹ + n i ⁵ + ŋ,Σ + m aa ¹ + h e ⁵ + n i ⁵ + ŋ,default,,,
1SG,,,,Σ + m aa ⁵ + n i ⁵ + ŋ + tʃ ɘ ⁵,Σ + m aa ⁵ + n i ⁵ + ŋ + tʃ + ʉ ⁵,Σ + m aa ⁵ + n i ⁵ + ŋ,Σ + m aa ⁵ + h e ⁵ + n i ⁵ + ŋ,,tone_alt_stem,,
1PLEXCL,,,,Σ + m aa ¹ + n + u ⁵ + ŋ + tʃ ɘ ⁵,Σ + m aa ¹ + n + u ⁵ + ŋ + tʃ + ʉ ⁵,Σ + m aa ¹ + n + u ⁵ + ŋ,Σ + m aa ¹ + h e ⁵ + n + u ⁵ + ŋ,default,,,
1PLEXCL,,,,Σ + m aa ⁵ + n i ⁵ + ŋ + tʃ ɘ ⁵,Σ + m aa ⁵ + n i ⁵ + ŋ + tʃ + ʉ ⁵,,Σ + m aa ⁵ + n + u ⁵ + ŋ,,tone_alt_stem,optional_plural,
1PLEXCL,,,,Σ + m aa ⁵ + n + u ⁵ + ŋ + tʃ ɘ ⁵,Σ + m aa ⁵ + n + u ⁵ + ŋ + tʃ + ʉ ⁵,Σ + m aa ⁵ + n + u ⁵ + ŋ,Σ + m aa ⁵ + h e ⁵ + n + u ⁵ + ŋ,,tone_alt_stem,,
1PLEXCL,,,,Σ + m aa ¹ + n i ⁵ + ŋ + tʃ ɘ ⁵,Σ + m aa ¹ + n i ⁵ + ŋ + tʃ + ʉ ⁵,,Σ + m aa ¹ + n + u ⁵ + ŋ,,,optional_plural,
1PLINCL,,,,,,Σ + m aa ¹ + m e ⁵ + n ɘ ⁵,Σ + m aa ¹ + h e ⁵ + m e ⁵ + n ɘ ⁵,default,,,
1PLINCL,,,,,,Σ + m aa ⁵ + m e ⁵ + n ɘ ⁵,Σ + m aa ⁵ + h e ⁵ + m e ⁵ + n ɘ ⁵,,tone_alt_stem,,
1PLINCL,,,,,,,Σ + m aa ⁵ + m e ⁵ + n ɘ ⁵,,tone_alt_stem,optional_plural,
1PLINCL,,,,,,,Σ + m aa ¹ + m e ⁵ + n ɘ ⁵,,,optional_plural,
2SG,i ¹ + Σ + m aa ⁵ + t e ⁵ + n ɘ ⁵,i ¹ + Σ + m aa ⁵ + t e ⁵ + n ɘ ⁵,,,,Σ + m aa ¹ + t e ⁵ + n ɘ ⁵,Σ + m aa ¹ + h e ⁵ + t e ⁵ + n ɘ ⁵,default,,,
2SG,,,,,,Σ + m aa ⁵ + t e ⁵ + n ɘ ⁵,Σ + m aa ⁵ + h e ⁵ + t e ⁵ + n ɘ ⁵,,tone_alt_stem,,
2PL,i ¹ + Σ + m aa ⁵ + t e ⁵ + n + ʉ ⁵,i ¹ + Σ + m aa ⁵ + t e ⁵ + n + ʉ ⁵,,,,Σ + m aa ¹ + t e ⁵ + n + ʉ ⁵,Σ + m aa ¹ + h e ⁵ + t e ⁵ + n + ʉ ⁵,default,,,
2PL,,,,,,Σ + m aa ⁵ + t e ⁵ + n + ʉ ⁵,Σ + m aa ⁵ + h e ⁵ + t e ⁵ + n + ʉ ⁵,,tone_alt_stem,,
3SG,i ¹ + Σ + m aa ⁵ + n ɘ ⁵,i ¹ + Σ + m aa ⁵ + n ɘ ⁵,i ¹ + Σ + m aa ⁵ + n ɘ ⁵,i ¹ + Σ + m aa ⁵ + n ɘ ⁵,i ¹ + Σ + m aa ⁵ + n ɘ ⁵,Σ + m aa ¹ + n ɘ ⁵,Σ + m aa ¹ + h e ⁵ + n ɘ ⁵,default,,,
3SG,i ¹ + Σ + m aa ⁵ + n ɘ ⁵,i ¹ + Σ + m aa ⁵ + n ɘ ⁵,i ¹ + Σ + m aa ⁵ + n ɘ ⁵,i ¹ + Σ + m aa ⁵ + n ɘ ⁵,i ¹ + Σ + m aa ⁵ + n ɘ ⁵,Σ + m aa ¹ + n ɘ ⁵,Σ + m aa ¹ + h e ⁵ + n ɘ ⁵,default,,,
3SG,,,,,,Σ + m aa ⁵ + n ɘ ⁵,Σ + m aa ⁵ + h e ⁵ + n ɘ ⁵,,tone_alt_stem,,
3PL,i ¹ + Σ + m aa ⁵ + h e ⁵ + n ɘ ⁵,i ¹ + Σ + m aa ⁵ + h e ⁵ + n ɘ ⁵,i ¹ + Σ + m aa ⁵ + h e ⁵ + n ɘ ⁵,i ¹ + Σ + m aa ⁵ + h e ⁵ + n ɘ ⁵,i ¹ + Σ + m aa ⁵ + h e ⁵ + n ɘ ⁵,Σ + m aa ¹ + h e ⁵ + n ɘ ⁵,Σ + m aa ¹ + h e ⁵ + n ɘ ⁵,default,,,
3PL,,,,,,Σ + m aa ⁵ + h e ⁵ + n ɘ ⁵,Σ + m aa ⁵ + h e ⁵ + n ɘ ⁵,,tone_alt_stem,,
NFUT.AFF,,,,,,,,,,,
A/O,1SG,1PLEXCL,1PLINCL,2SG,2PL,3SG,3PL,paradigm_tag,morphanalysis_tag,overabundance_tag,order_tag
1SG,,,,k i ⁵ + Σ + n aa ⁵ + tʃ ɘ ¹,k i ⁵ + Σ + n aa ⁵ + tʃ + ʉ ¹,k i ⁵ + Σ + n a ⁵ ʔ,k i ⁵ + Σ + n aa ⁵ + h e ¹,default,,,
1PLEXCL,,,,k i ⁵ ŋ + Σ + n aa ⁵ + tʃ ɘ ¹,k i ⁵ ŋ + Σ + n aa ⁵ + tʃ + ʉ ¹,k i ⁵ ŋ + Σ + n a ⁵ ʔ,k i ⁵ ŋ + Σ + n aa ⁵ + h e ¹,default,,,
1PLINCL,,,,,,i ¹ + Σ + n a ⁵ ʔ,i ¹ + Σ + n aa ⁵ + h e ¹,default,,,
2SG,ŋ ¹ + Σ + n aa ⁵ + tʃ ɘ ¹,ŋ ¹ + Σ + n aa ⁵ + tʃ + ʉ ¹,,,,n a ⁵ + Σ + n a ⁵ ʔ,n a ⁵ + Σ + n aa ⁵ + h e ¹,default,,,
2SG,,ŋ ¹ + Σ + n aa ⁵ + tʃ ɘ ¹,,,,,,,,optional_plural,
2PL,ŋ ¹ + Σ + n aa ⁵ + tʃ + ʉ ¹,ŋ ¹ + Σ + n aa ⁵ + tʃ + ʉ ¹,,,,n i ⁵ ŋ + Σ + n a ⁵ ʔ,n i ⁵ ŋ + Σ + n aa ⁵ + h e ¹,default,,,
3SG,ŋ ¹ + Σ + n a ⁵ ʔ,ŋ ¹ + Σ + n a ⁵ ʔ,ŋ ¹ + Σ + n a ⁵ ʔ,ŋ ¹ + Σ + n a ⁵ ʔ,ŋ ¹ + Σ + n a ⁵ ʔ,a ⁵ + Σ + n a ⁵ ʔ,a ⁵ + Σ + n aa ⁵ + h e ¹,default,,,
3PL,ŋ ¹ + Σ + n aa ⁵ + h e ¹,ŋ ¹ + Σ + n aa ⁵ + h e ¹,ŋ ¹ + Σ + n aa ⁵ + h e ¹,ŋ ¹ + Σ + n aa ⁵ + h e ¹,ŋ ¹ + Σ + n aa ⁵ + h e ¹,ŋ ⁵ + Σ + n a ⁵ ʔ,ŋ ⁵ + Σ + n aa ⁵ + h e ¹,default,,,
3PL,,,,,,a ⁵ + Σ + n aa ⁵ + h e ¹,,pragm_marked,,,
NFUT.NEG,,,,,,,,,,,
A/O,1SG,1PLEXCL,1PLINCL,2SG,2PL,3SG,3PL,paradigm_tag,morphanalysis_tag,overabundance_tag,order_tag
1SG,,,,Σ + m aa ¹ + ŋ + tʃ ɘ ⁵,Σ + m aa ¹ + ŋ + tʃ + ʉ ⁵,Σ + m aa ¹⁵ + ŋ,Σ + m aa ¹ + h e ⁵ + ŋ,default,,,
1SG,,,,Σ + m aa ⁵ + ŋ + tʃ ɘ ¹,Σ + m aa ⁵ + ŋ + tʃ + ʉ ¹,Σ + m aa ⁵ + ŋ,Σ + m aa ⁵ + h e ⁵ + ŋ,,tone_alt_stem,,
1PLEXCL,,,,Σ + m a ¹ + u ⁵ + ŋ + tʃ + ʉ ⁵,Σ + m a ¹ + u ⁵ + ŋ + tʃ + ʉ ⁵,Σ + m a ¹ + u ⁵ + ŋ,Σ + m aa ¹ + h + u ⁵ + ŋ,default,,,
1PLEXCL,,,,Σ + m a ⁵ + u ⁵ + ŋ + tʃ + ʉ ⁵,Σ + m a ⁵ + u ⁵ + ŋ + tʃ + ʉ ⁵,Σ + m a ⁵ + u ⁵ + ŋ,Σ + m aa ⁵ + h + u ⁵ + ŋ,,tone_alt_stem,,
1PLINCL,,,,,,Σ + m aa ¹ + m ɘ ⁵,Σ + m aa ¹ + h e ⁵ + m ɘ ⁵,default,,,
1PLINCL,,,,,,Σ + m aa ⁵ + m ɘ ⁵,Σ + m aa ⁵ + h e ⁵ + m ɘ ⁵,,tone_alt_stem,,
1PLEXCL,,,,,,,Σ + m a ⁵ + u ⁵ + ŋ,,tone_alt_stem,optional_plural,
1PLINCL,,,,,,,Σ + m aa ⁵ + m ɘ ⁵,,tone_alt_stem,optional_plural,
1PLINCL,,,,,,,Σ + m aa ⁵ + m e ⁵ + h ɘ ⁵,,tone_alt_stem,,variable_order
1PLEXCL,,,,,,,Σ + m a ¹ + u ⁵ + ŋ,,,optional_plural,
1PLINCL,,,,,,,Σ + m aa ¹ + m ɘ ⁵,,,optional_plural,
1PLINCL,,,,,,,Σ + m aa ¹ + m e ⁵ + h ɘ ⁵,,,,variable_order
2SG,i ¹ + Σ + m aa ⁵ + tʃ ɘ ⁵,i ¹ + Σ + m aa ⁵ + tʃ + ʉ ⁵,,,,Σ + m aa ¹ + tʃ ɘ ⁵,Σ + m aa ¹ + h e ⁵ + tʃ ɘ ⁵,default,,,
2SG,,i ¹ + Σ + m aa ⁵ + tʃ ɘ ⁵,,,,,,,,optional_plural,
2SG,,,,,,Σ + m aa ⁵ + tʃ ɘ ⁵,Σ + m aa ⁵ + h e ⁵ + tʃ ɘ ⁵,,tone_alt_stem,,
2PL,i ¹ + Σ + m aa ⁵ + tʃ + ʉ ⁵,i ¹ + Σ + m aa ⁵ + tʃ + ʉ ⁵,,,,Σ + m aa ¹ + tʃ + ʉ ⁵,Σ + m aa ¹ + h e ⁵ + tʃ + ʉ ⁵,default,,,
2PL,,,,,,Σ + m aa ⁵ + tʃ + ʉ ⁵,Σ + m aa ⁵ + h e ⁵ + tʃ + ʉ ⁵,,tone_alt_stem,,
2PL,,,,,,,Σ + m aa ⁵ + tʃ + ʉ ⁵,,tone_alt_stem,optional_plural,
2PL,,,,,,,Σ + m aa ¹ + tʃ + ʉ ⁵,,,optional_plural,
3SG,i ¹ + Σ + m a ⁵ ʔ,i ¹ + Σ + m a ⁵ ʔ,i ¹ + Σ + m a ⁵ ʔ,i ¹ + Σ + m a ⁵ ʔ,i ¹ + Σ + m a ⁵ ʔ,Σ + m a ¹ ʔ,Σ + m aa ¹ + h e ⁵,default,,,
3SG,,,,,,Σ + m a ⁵ ʔ,Σ + m aa ⁵ + h e ⁵,,tone_alt_stem,,
3PL,i ¹ + Σ + m aa ⁵ + h e ⁵,i ¹ + Σ + m aa ⁵ + h e ⁵,i ¹ + Σ + m aa ⁵ + h e ⁵,i ¹ + Σ + m aa ⁵ + h e ⁵,i ¹ + Σ + m aa ⁵ + h e ⁵,Σ + m aa ¹ + h e ⁵,Σ + m aa ¹ + h e ⁵,default,,,
3PL,,,,,,Σ + m aa ⁵ + h e ⁵,Σ + m aa ⁵ + h e ⁵,,tone_alt_stem,,
