grapheme_id,language_id
d,monsang
g,monsang
h,monsang
k,monsang
m,monsang
m̥,monsang
m̩̀,monsang
n,monsang
n̥,monsang
r,monsang
s,monsang
t,monsang
tʃ,monsang
v,monsang
à,monsang
àà,monsang
àá,monsang
àː,monsang
á,monsang
áá,monsang
áː,monsang
è,monsang
é,monsang
ì,monsang
í,monsang
íː,monsang
ù,monsang
ú,monsang
ń̩,monsang
ŋ,monsang
ŋ̩̀,monsang
ŋ̩́,monsang
ǎ,monsang
ǎː,monsang
ǹ̩,monsang
Ɂ,monsang
ɘ,monsang
ɘ́ː,monsang
ʔ,monsang
ʷù,monsang
ʷú,monsang
̀,monsang
́,monsang
̌,monsang
Σ,monsang
ḿ,monsang
ḿ̩,monsang
